wingcrd,wt
59,9.5
54,12.2
53,13.8
55,13.8
55,14.1
53.5,14.8
55.5,15
55,15
54,15.1
55,15.1
56,15.2
55,15.2
52.5,15.5
57.5,15.6
53,15.6
55,15.7
55,15.7
55.5,15.7
57,15.8
55,15.8
54.5,15.8
53,15.8
54,15.8
56.5,15.9
55,15.9
55.5,16
55.5,16
55.5,16
53.5,16
56.5,16
57,16
56.5,16
56.5,16
54,16
56,16.1
51.5,16.1
54.5,16.2
54.5,16.2
53,16.2
58,16.2
57,16.2
57,16.2
56.5,16.3
57,16.3
57,16.3
53,16.3
52.5,16.3
56.5,16.4
56.5,16.4
55.5,16.4
56,16.4
54,16.4
55,16.4
55,16.4
57,16.5
56,16.5
56.5,16.5
55,16.5
56.5,16.5
54.5,16.5
58.5,16.5
55,16.5
54.5,16.5
56,16.5
57,16.5
54.5,16.5
55,16.5
54.5,16.5
54.5,16.5
54,16.5
55,16.5
55,16.6
56,16.6
54,16.6
55,16.6
54,16.6
56,16.6
56.5,16.6
54.5,16.6
57,16.6
51.5,16.7
55,16.7
55,16.7
55,16.7
55,16.7
55,16.7
54,16.7
54,16.8
57.5,16.8
57.5,16.8
58,16.8
54,16.8
58,16.8
58,16.8
56,16.8
55,16.9
56.5,16.9
54,16.9
55,16.9
53,16.9
58.5,16.9
56,17
56.5,17
55,17
54,17
55.5,17
56,17
54,17
54,17
55,17
54,17
56,17
54,17.1
57,17.1
54,17.1
54.5,17.1
57,17.1
57.5,17.1
55,17.1
54,17.1
56.5,17.1
57,17.2
54,17.2
56,17.2
55,17.2
57,17.2
56,17.2
55.5,17.2
56.5,17.2
56.5,17.2
55,17.2
56,17.2
60,17.2
54,17.2
55,17.2
56,17.2
53,17.2
56.5,17.2
57,17.2
53,17.2
55.5,17.2
51,17.3
55,17.3
58,17.3
55,17.3
55,17.4
54.5,17.4
57,17.4
55,17.4
60,17.4
56,17.4
56.5,17.4
53,17.4
55,17.4
59,17.5
56,17.5
62,17.5
56,17.5
54.5,17.5
55,17.5
59.5,17.5
58,17.5
58,17.5
56.5,17.5
57.5,17.5
54.5,17.5
54,17.5
54,17.5
54.5,17.5
54.5,17.5
55,17.5
56,17.5
57,17.5
54,17.5
56,17.5
55,17.5
54,17.5
55,17.5
55,17.5
57,17.5
56.5,17.6
55,17.6
56,17.6
56,17.6
59,17.6
54,17.6
56,17.6
54,17.6
54,17.6
56,17.6
58,17.6
54,17.6
55,17.6
55,17.7
53.5,17.7
54.5,17.7
54.5,17.7
55,17.7
56.5,17.7
56,17.8
55,17.8
58,17.8
58,17.8
56.5,17.8
56,17.8
55,17.8
53.5,17.8
56.5,17.8
56.5,17.8
56,17.8
54,17.8
55,17.8
56.5,17.9
58,17.9
55,17.9
58,17.9
56.5,17.9
57,17.9
53,17.9
55,17.9
55,17.9
59,17.9
56,17.9
56.5,17.9
55,17.9
55,17.9
53.5,17.9
54,17.9
55.5,18
58.5,18
58,18
54,18
55,18
58,18
58,18
57,18
57,18
57,18
55.5,18
57,18
56,18
55,18
54.5,18
55,18
56.5,18
56.5,18
55,18
54,18
56,18
54.5,18.1
60,18.1
58,18.1
58,18.1
58,18.1
58,18.1
55,18.1
57,18.1
57.5,18.1
59,18.1
59,18.1
58,18.1
54.5,18.1
56,18.1
56,18.1
55,18.1
55,18.1
54,18.1
56.5,18.1
56,18.2
59.5,18.2
58,18.2
57,18.2
55.5,18.2
58.5,18.2
55,18.2
57,18.2
58,18.2
60,18.2
59,18.2
59,18.2
57,18.2
55.5,18.2
55,18.2
58,18.2
57,18.2
52.5,18.2
54,18.2
54,18.2
55,18.2
55,18.2
56.5,18.2
54.5,18.2
55,18.2
57,18.2
55,18.3
55.5,18.3
55,18.3
59.5,18.4
57,18.4
59,18.4
57,18.4
56,18.4
58.5,18.4
56,18.4
55,18.4
54,18.4
54,18.4
55,18.4
54.5,18.4
54.5,18.4
58,18.4
55.5,18.4
59,18.5
58,18.5
58.5,18.5
57,18.5
56.5,18.5
58,18.5
59,18.5
58.5,18.5
56,18.5
55,18.5
56,18.5
59,18.5
59.5,18.5
58,18.5
55,18.5
